Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100
2020-10-02,9.38,9.78,9.30,9.39,9.39,4340500
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
2020-10-06,9.56,9.84,9.10,9.13,9.13,4535400
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
2020-10-09,12.83,14.80,11.90,12.02,12.02,77152800
2020-10-12,11.66,12.77,11.40,11.80,11.80,23655700
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800
2020-10-15,11.99,15.10,11.99,13.83,13.83,39894800
2020-10-16,13.77,13.90,13.08,13.31,13.31,11651600
2020-10-19,13.44,14.50,13.38,13.91,13.91,13169100
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
2020-10-21,13.90,14.42,13.80,14.10,14.10,5361900
2020-10-22,14.20,15.87,14.19,14.91,14.91,16212200
2020-10-23,15.05,15.38,14.55,15.00,15.00,6507300
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
2020-11-02,10.82,11.09,10.50,10.75,10.75,5227000
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
2020-11-10,11.50,11.66,10.83,11.10,11.10,3826000
2020-11-11,11.50,11.95,11.21,11.75,11.75,4882600
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
2020-11-13,11.36,11.55,11.00,11.01,11.01,3535900
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
2020-11-18,11.80,12.04,11.56,11.57,11.57,3169200
2020-11-19,11.60,12.79,11.45,12.46,12.46,11787600
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
2020-11-23,12.90,14.12,12.67,13.90,13.90,9599100
2020-11-24,14.23,14.26,13.30,13.67,13.67,7183200
2020-11-25,13.60,15.25,13.42,14.75,14.75,8860100
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
2020-11-30,18.17,19.42,16.55,16.55,16.55,31983500
2020-12-01,17.11,17.40,15.76,15.80,15.80,12666000
2020-12-02,15.70,16.68,15.38,16.58,16.58,7883400
2020-12-03,16.48,16.63,15.87,16.12,16.12,6295000
2020-12-04,16.29,17.29,16.26,16.90,16.90,8972700
2020-12-07,17.00,17.50,16.21,16.35,16.35,7386300
2020-12-08,16.37,17.20,15.93,16.94,16.94,16120200
2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
2020-12-11,13.91,14.00,13.02,13.31,13.31,7496900
2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900
2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
2020-12-18,15.78,16.29,15.18,15.63,15.63,16618800
2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
2020-12-22,16.21,20.04,16.15,19.45,19.45,30652700
2020-12-23,20.17,22.35,19.12,20.57,20.57,25830300
2020-12-24,21.01,21.48,19.95,20.15,20.15,6262200
2020-12-28,21.30,21.96,20.35,20.99,20.99,8965900
2020-12-29,20.82,21.07,18.55,19.37,19.37,9241400
2020-12-30,19.37,20.00,18.85,19.26,19.26,5934400
2020-12-31,19.25,19.79,18.79,18.84,18.84,6922700
2021-01-04,19.00,19.10,17.15,17.25,17.25,10022500
2021-01-05,17.35,18.08,17.23,17.37,17.37,4961500
2021-01-06,17.34,18.98,17.33,18.36,18.36,6056200
2021-01-07,18.46,19.45,18.02,18.08,18.08,6129300
2021-01-08,18.18,18.29,17.08,17.69,17.69,6482000
2021-01-11,19.41,20.65,19.01,19.94,19.94,14927600
2021-01-12,19.95,20.40,19.32,19.95,19.95,7060700
2021-01-13,20.42,38.65,20.03,31.40,31.40,144501700
2021-01-14,38.09,43.06,33.04,39.91,39.91,93717400
2021-01-15,38.49,40.75,34.00,35.50,35.50,46866400
2021-01-19,41.54,45.52,36.63,39.36,39.36,74721900
2021-01-20,37.36,41.18,36.06,39.11,39.11,33471800
2021-01-21,39.23,44.75,37.00,43.02,43.02,57079800
2021-01-22,42.59,76.76,42.32,65.01,65.01,197157900
2021-01-25,96.73,159.17,61.13,76.79,76.79,177874000
2021-01-26,88.55,150.00,80.19,147.97,147.97,178588000
2021-01-27,354.82,380.00,249.00,347.51,347.51,93396700
2021-01-28,265.00,483.00,112.25,193.60,193.60,58815800
2021-01-29,379.70,413.98,250.00,325.00,325.00,50259200
2021-02-01,316.55,322.00,212.00,225.00,225.00,37382200
2021-02-02,140.75,158.00,74.22,90.00,90.00,78183100
2021-02-03,112.01,113.40,85.25,92.41,92.41,42698500
2021-02-04,91.19,91.50,53.33,53.50,53.50,62427300
2021-02-05,54.04,95.00,51.09,63.77,63.77,80886300
2021-02-08,72.41,72.66,58.02,60.00,60.00,25687300
2021-02-09,56.61,57.00,46.52,50.31,50.31,26843100
2021-02-10,50.77,62.83,46.54,51.20,51.20,36455000
2021-02-11,50.00,55.32,48.22,51.09,51.09,12997400
2021-02-12,50.75,55.24,48.04,52.40,52.40,14498000
2021-02-16,52.66,53.50,49.04,49.50,49.50,8140700
2021-02-17,49.77,51.18,44.56,45.93,45.93,9186800
2021-02-18,48.49,48.86,40.65,40.68,40.68,23916900
2021-02-19,41.27,43.88,38.50,40.59,40.59,14678700
2021-02-22,46.68,48.50,42.40,46.00,46.00,19338400
2021-02-23,44.97,46.23,40.00,43.02,43.02,2710116
